,name,homepage,resource,description,category,projectrank,show,github_id,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,labels,conda_id,pypi_id,open_issue_count,commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,github_release_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,cargo_id,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,conda_forge,updated_github_id
0,Python.org Packaging,https://packaging.python.org/overview/,True,An Overview of Packaging for Python.,packaging,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Testing,https://github.com/ml-tooling/best-of-web-python,True,Testing libraries & tools for python web frameworks.,testing,0,True,ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000000,2021-07-08 14:20:51.000000,2021-07-05 20:13:31.000000,84.0,2.0,1275.0,2021-07-05 20:13:46.000000,2021.07.01,19.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unittest,https://docs.python.org/3/library/unittest.html,True,Unittest is a test framework included in the Python standard library.,testing,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sphinx,https://github.com/sphinx-doc/sphinx,,Main repository for the Sphinx documentation builder.,documentation,38,True,sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,BSD-3-Clause,2015-01-02 10:53:28.000000,2021-07-08 11:09:47.000000,2021-07-06 17:20:46.000000,1504.0,4675.0,4016.0,2021-07-05 15:41:00.000000,4.0.3,152.0,658.0,['sphinx'],conda-forge/sphinx,sphinx,800.0,17786.0,253052.0,148516.0,https://pypi.org/project/sphinx,2021-07-05 15:41:00.000000,104536.0,3914419.0,3973991.0,https://anaconda.org/conda-forge/sphinx,2021-07-05 18:14:03.382000,3514764.0,1.0,,,,,,,,,,,,,,,
4,pipenv,https://github.com/pypa/pipenv,,Python Development Workflow for Humans.,virtual-envs,37,True,pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000000,2021-06-29 14:10:16.000000,2021-05-29 03:05:47.000000,1631.0,2886.0,22057.0,2021-05-29 03:10:16.000000,2021.5.29,298.0,383.0,,conda-forge/pipenv,pipenv,547.0,7058.0,22176.0,19902.0,https://pypi.org/project/pipenv,2021-05-29 03:10:16.000000,2274.0,3432988.0,3434922.0,https://anaconda.org/conda-forge/pipenv,2020-11-15 06:15:51.831000,40630.0,1.0,,,,,,,,,,,,,,,
5,tqdm,https://github.com/tqdm/tqdm,,"A Fast, Extensible Progress Bar for Python and CLI.",logging,37,True,tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000000,2021-07-07 13:37:22.338000,2021-07-06 06:42:12.000000,963.0,519.0,18739.0,2021-07-06 06:51:33.000000,4.61.2,120.0,104.0,,conda-forge/tqdm,tqdm,293.0,1851.0,214044.0,187806.0,https://pypi.org/project/tqdm,2021-07-06 06:51:33.000000,26238.0,28860858.0,28972206.0,https://anaconda.org/conda-forge/tqdm,2021-07-07 13:37:22.338000,6781562.0,1.0,tqdm/tqdm,7919.0,https://hub.docker.com/r/tqdm/tqdm,2021-07-06 10:41:47.841935,1.0,3707.0,,,,,,,,,
6,mypy,https://github.com/python/mypy,,Optional static typing for Python 3 and 2 (PEP 484).,linters,36,True,python/mypy,https://github.com/python/mypy,MIT,2012-12-07 13:30:23.000000,2021-07-08 14:04:22.000000,2021-07-08 10:31:55.000000,1803.0,4696.0,10982.0,,,83.0,477.0,,conda-forge/mypy,mypy,1825.0,9612.0,44017.0,37933.0,https://pypi.org/project/mypy,2021-06-22 18:39:23.000000,6084.0,7076609.0,7100133.0,https://anaconda.org/conda-forge/mypy,2021-06-23 17:56:50.288000,1035061.0,1.0,,,,,,,,,,,,,,,
7,pytest,https://github.com/pytest-dev/pytest,,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",testing,36,True,pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000000,2021-07-06 16:29:51.000000,2021-07-06 14:31:21.000000,1728.0,3896.0,7501.0,2021-05-04 16:22:25.000000,6.2.4,147.0,730.0,['pytest'],conda-forge/pytest,pytest,653.0,,470515.0,339931.0,https://pypi.org/project/pytest,2021-05-04 16:21:57.000000,130584.0,29536427.0,29676953.0,https://anaconda.org/conda-forge/pytest,2021-06-29 11:51:51.458000,8431569.0,1.0,,,,,,,,,,,,,,,
8,tox,https://github.com/tox-dev/tox,,Command line driven CI frontend and development task automation tool.,testing,36,True,tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000000,2021-07-07 20:54:09.000000,2021-07-05 21:05:02.000000,366.0,1062.0,2290.0,2021-05-10 12:09:53.000000,3.23.1,116.0,243.0,['pytest'],conda-forge/tox,tox,143.0,2006.0,82342.0,45942.0,https://pypi.org/project/tox,2021-05-05 16:42:34.000000,36400.0,4181835.0,4188564.0,https://anaconda.org/conda-forge/tox,2021-06-30 00:03:19.117000,309552.0,1.0,,,,,,,,,,,,,,,
9,flake8,https://github.com/PyCQA/flake8,,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelder's McCabe script.,linters,36,True,PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000000,2021-07-05 22:36:14.000000,2021-07-05 22:36:14.000000,183.0,1245.0,1360.0,2021-03-14 23:32:11.000000,3.9.0,79.0,155.0,,conda-forge/flake8,flake8,37.0,1972.0,249000.0,177710.0,https://pypi.org/project/flake8,2021-05-08 19:52:32.000000,71290.0,11972035.0,12015359.0,https://anaconda.org/conda-forge/flake8,2021-05-10 17:37:45.968000,2642800.0,1.0,,,,,,,,,,,,,,,
