,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,projectrank,show,updated_github_id,open_issue_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_monthly_downloads,cargo_id,cargo_url,cargo_monthly_downloads,cargo_total_downloads,conda_forge
0,best-of-web-python - Testing,ml-tooling/best-of-web-python,testing,Testing libraries & tools for python web frameworks.,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2024-02-29 16:56:07.000,2024-02-29 16:56:06,315.0,25.0,158.0,54.0,185.0,3.0,2129.0,2024-02-29 16:56:13.000,2024.02.29,100.0,14.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-mkdocs,pawamoy/best-of-mkdocs,documentation,Collection of MkDocs projects and plugins.,True,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22.000,2024-02-29 18:37:40.000,2024-02-29 18:37:39,261.0,23.0,40.0,12.0,176.0,14.0,725.0,2023-06-29 18:48:34.000,2023.06.29,68.0,26.0,0,True,mkdocs/catalog,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Python.org Packaging,,packaging,An Overview of Packaging for Python.,True,,https://packaging.python.org/overview/,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unittest,,testing,Unittest is a test framework included in the Python standard library.,True,,https://docs.python.org/3/library/unittest.html,,,,,,,,,,,,,,,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pytest,pytest-dev/pytest,testing,"The pytest framework makes it easy to write small tests, yet scales to support complex functional testing.",,https://github.com/pytest-dev/pytest,https://github.com/pytest-dev/pytest,MIT,2015-06-15 20:28:27.000,2024-03-07 09:10:09.000,2024-03-04 15:44:56,15766.0,315.0,2451.0,190.0,5599.0,4848.0,11193.0,2024-03-03 21:23:38.000,8.1.0,172.0,948.0,48,True,,780.0,pytest,conda-forge/pytest,['pytest'],43.0,107855269.0,1192330.0,1168209.0,https://pypi.org/project/pytest,2024-03-03 21:23:38.000,24121.0,107261060.0,https://anaconda.org/conda-forge/pytest,2024-03-03 23:20:59.015,24362601.0,1.0,,,,,,,,,,,,,,
5,black,psf/black,formatters,The uncompromising Python code formatter.,,https://github.com/psf/black,https://github.com/psf/black,MIT,2018-03-14 19:54:45.000,2024-03-03 14:39:43.000,2024-03-03 03:31:02,1825.0,73.0,2499.0,231.0,1690.0,2181.0,37005.0,2024-02-12 20:21:17.000,24.2.0,58.0,437.0,46,True,,375.0,black,conda-forge/black,,57835.0,34796591.0,485158.0,470634.0,https://pypi.org/project/black,2024-02-12 20:21:17.000,14524.0,34582458.0,https://anaconda.org/conda-forge/black,2024-02-18 10:27:18.547,9379486.0,1.0,,,,,,,,,,,,,,
6,setuptools,pypa/setuptools,build-tools,Official project repository for the Setuptools build system.,,https://github.com/pypa/setuptools,https://github.com/pypa/setuptools,MIT,2016-03-29 14:02:33.000,2024-03-07 10:49:25.000,2024-03-07 09:02:35,14541.0,224.0,1024.0,93.0,1533.0,1849.0,2265.0,2024-02-23 11:26:53.000,69.1.1,558.0,593.0,46,True,,608.0,setuptools,conda-forge/setuptools,,,364458430.0,514055.0,473934.0,https://pypi.org/project/setuptools,2024-02-23 11:26:34.000,40121.0,362231157.0,https://anaconda.org/conda-forge/setuptools,2024-02-23 15:34:46.410,102454571.0,1.0,,,,,,,,,,,,,,
7,pip,pypa/pip,dependency-managers,The Python package installer.,,https://github.com/pypa/pip,https://github.com/pypa/pip,MIT,2011-03-06 14:30:46.000,2024-03-06 18:55:20.000,2024-03-06 18:50:32,14335.0,122.0,2858.0,317.0,5395.0,6132.0,9178.0,,,69.0,765.0,45,True,,965.0,pip,conda-forge/pip,,,368202027.0,174215.0,174215.0,https://pypi.org/project/pip,,,365971903.0,https://anaconda.org/conda-forge/pip,2024-02-03 11:45:13.925,102585744.0,1.0,,,,,,,,,,,,,,
8,pipenv,pypa/pipenv,virtual-envs,Python Development Workflow for Humans.,,https://github.com/pypa/pipenv,https://github.com/pypa/pipenv,MIT,2017-01-20 00:44:02.000,2024-02-22 21:10:38.000,2024-02-05 11:48:25,8727.0,31.0,1805.0,357.0,1857.0,3926.0,24493.0,2024-02-05 01:03:12.000,2023.12.1,100.0,499.0,44,True,,234.0,pipenv,conda-forge/pipenv,,,10683890.0,131055.0,131055.0,https://pypi.org/project/pipenv,,,10680778.0,https://anaconda.org/conda-forge/pipenv,2024-02-05 03:05:28.328,143179.0,1.0,,,,,,,,,,,,,,
9,psutil,giampaolo/psutil,profiling,Cross-platform lib for process and system monitoring in Python.,,https://github.com/giampaolo/psutil,https://github.com/giampaolo/psutil,BSD-3-Clause,2014-05-23 14:01:48.000,2024-03-05 07:51:27.000,2024-02-26 23:40:40,6035.0,51.0,1323.0,235.0,671.0,1423.0,9837.0,,,40.0,204.0,44,True,,268.0,psutil,conda-forge/psutil,,,97887095.0,447745.0,447745.0,https://pypi.org/project/psutil,,,97234820.0,https://anaconda.org/conda-forge/psutil,2024-02-08 19:11:03.012,28700115.0,1.0,,,,,,,,,,,,,,
10,tqdm,tqdm/tqdm,logging,"A Fast, Extensible Progress Bar for Python and CLI.",,https://github.com/tqdm/tqdm,https://github.com/tqdm/tqdm,MPL-2.0,2015-06-03 13:13:14.000,2024-03-06 18:22:48.000,2024-02-10 18:11:50,1979.0,15.0,1398.0,209.0,542.0,578.0,27125.0,2024-02-10 19:02:52.000,4.66.2,136.0,115.0,43,True,,490.0,tqdm,conda-forge/tqdm,,11995.0,93392684.0,694066.0,664168.0,https://pypi.org/project/tqdm,2024-02-10 18:19:53.000,29898.0,92837510.0,https://anaconda.org/conda-forge/tqdm,2024-02-10 20:59:56.053,24974790.0,1.0,tqdm/tqdm,https://hub.docker.com/r/tqdm/tqdm,2024-03-02 01:29:56.925023,2.0,4264.0,,,,,,,,,
11,mkdocs-material,squidfunk/mkdocs-material,documentation,Documentation that simply works.,,https://github.com/squidfunk/mkdocs-material,https://github.com/squidfunk/mkdocs-material,MIT,2016-01-28 22:09:23.000,2024-03-06 14:24:26.000,2024-03-06 10:10:28,6129.0,203.0,3248.0,126.0,2804.0,2213.0,17626.0,2024-03-06 06:05:38.000,9.5.13,373.0,256.0,43,True,,40.0,mkdocs-material,conda-forge/mkdocs-material,['mkdocs'],,4201532.0,45646.0,44379.0,https://pypi.org/project/mkdocs-material,2024-03-06 06:05:38.000,1267.0,4193808.0,https://anaconda.org/conda-forge/mkdocs-material,2024-03-06 13:20:02.589,355307.0,1.0,,,,,,,,,,,,,,
12,rich,Textualize/rich,logging,Rich is a Python library for rich text and beautiful formatting in the terminal.,,https://github.com/Textualize/rich,https://github.com/Textualize/rich,MIT,2019-11-10 15:28:09.000,2024-03-07 13:18:23.000,2024-02-29 14:02:23,3877.0,7.0,1655.0,543.0,1075.0,1066.0,46611.0,2024-02-28 14:52:38.000,13.7.1,191.0,236.0,42,True,,252.0,rich,conda-forge/rich,,,46070821.0,182090.0,175533.0,https://pypi.org/project/rich,2024-02-28 14:51:14.000,6557.0,45929153.0,https://anaconda.org/conda-forge/rich,2024-02-28 20:06:23.063,6233400.0,1.0,,,,,,,,,,,,,,
13,ruff,charliermarsh/ruff,linters,"An extremely fast Python linter and code formatter, written in Rust.",,https://github.com/astral-sh/ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44.000,2024-03-07 13:59:30.000,2024-03-07 13:59:29,6427.0,596.0,788.0,71.0,6089.0,3267.0,24695.0,2024-03-06 22:47:24.000,0.3.1,287.0,379.0,42,True,astral-sh/ruff,690.0,ruff,conda-forge/ruff,,231341.0,13404107.0,38382.0,35942.0,https://pypi.org/project/ruff,2024-03-06 22:42:35.000,2440.0,13352955.0,https://anaconda.org/conda-forge/ruff,2024-03-07 03:19:16.751,554056.0,1.0,,,,,,,,,,,,,,
14,pyinstaller,pyinstaller/pyinstaller,packaging,Freeze (package) Python programs into stand-alone executables.,,https://github.com/pyinstaller/pyinstaller,https://github.com/pyinstaller/pyinstaller,GPL-2.0,2011-11-23 11:05:56.000,2024-03-04 05:22:16.000,2024-03-03 16:28:12,9169.0,88.0,1973.0,233.0,2343.0,4937.0,11132.0,2024-02-10 13:49:52.000,6.4.0,61.0,465.0,42,True,,289.0,pyinstaller,conda-forge/pyinstaller,,744355.0,2151177.0,55774.0,55353.0,https://pypi.org/project/pyinstaller,2024-02-10 13:46:02.000,421.0,2131301.0,https://anaconda.org/conda-forge/pyinstaller,2024-02-10 19:45:53.984,530844.0,1.0,,,,,,,,,,,,,,
15,hypothesis,HypothesisWorks/hypothesis,testing,"Hypothesis is a powerful, flexible, and easy to use library for property-based testing.",,https://github.com/HypothesisWorks/hypothesis,https://github.com/HypothesisWorks/hypothesis,MPL-2.0,2013-03-10 13:51:19.000,2024-03-06 21:54:59.000,2024-03-04 04:04:41,14131.0,637.0,565.0,73.0,2407.0,1459.0,7180.0,2024-03-04 04:04:44.000,6.98.17,1148.0,327.0,42,True,,42.0,hypothesis,conda-forge/hypothesis,,,6415140.0,27798.0,25369.0,https://pypi.org/project/hypothesis,2024-03-04 04:04:44.000,2429.0,6231695.0,https://anaconda.org/conda-forge/hypothesis,2024-03-04 06:22:14.646,8438478.0,1.0,,,,,,,,,,,,,,
16,sphinx,sphinx-doc/sphinx,documentation,The Sphinx documentation generator.,,https://github.com/sphinx-doc/sphinx,https://github.com/sphinx-doc/sphinx,,2015-01-02 10:53:28.000,2024-03-07 11:31:57.000,2024-03-03 17:01:10,20636.0,186.0,1925.0,149.0,5206.0,5681.0,5962.0,2023-09-13 23:13:00.000,7.2.6,108.0,810.0,42,False,,1099.0,sphinx,conda-forge/sphinx,['sphinx'],,12874229.0,363391.0,363391.0,https://pypi.org/project/sphinx,,,12683619.0,https://anaconda.org/conda-forge/sphinx,2023-09-13 23:26:46.261,8768078.0,1.0,,,,,,,,,,,,,,
17,pylint,PyCQA/pylint,linters,Its not just a linter that annoys you!.,,https://github.com/pylint-dev/pylint,https://github.com/pylint-dev/pylint,GPL-2.0,2015-12-09 05:40:02.000,2024-03-07 13:55:23.000,2024-03-06 20:25:01,9094.0,80.0,1065.0,77.0,4117.0,4484.0,5059.0,2024-02-25 16:48:26.000,3.1.0,185.0,559.0,42,True,pylint-dev/pylint,878.0,pylint,conda-forge/pylint,,,20459459.0,434162.0,410730.0,https://pypi.org/project/pylint,2024-02-25 16:48:26.000,23432.0,20352658.0,https://anaconda.org/conda-forge/pylint,2024-02-25 19:42:33.200,4806076.0,1.0,,,,,,,,,,,,,,
18,flake8,PyCQA/flake8,linters,Flake8 is a wrapper around these tools: PyFlakes; pycodestyle; Ned Batchelders McCabe script.,,https://github.com/PyCQA/flake8,https://github.com/PyCQA/flake8,MIT,2014-09-13 17:06:24.000,2024-02-20 01:17:13.000,2024-01-08 22:40:02,2446.0,13.0,295.0,37.0,359.0,1535.0,3206.0,2024-01-05 00:41:49.000,7.0.0,89.0,174.0,42,True,,25.0,flake8,conda-forge/flake8,,,28873241.0,579388.0,532782.0,https://pypi.org/project/flake8,2024-01-05 00:41:49.000,46606.0,28718839.0,https://anaconda.org/conda-forge/flake8,2024-01-05 19:47:00.587,7102528.0,1.0,,,,,,,,,,,,,,
19,mypy,python/mypy,type-checkers,Optional static typing for Python.,,https://github.com/python/mypy,https://github.com/python/mypy,,2012-12-07 13:30:23.000,2024-03-07 03:41:33.000,2024-03-07 03:40:10,11756.0,97.0,2619.0,234.0,6863.0,7529.0,17283.0,,,58.0,700.0,41,False,,2508.0,mypy,conda-forge/mypy,,,23482840.0,229015.0,229015.0,https://pypi.org/project/mypy,,,23399753.0,https://anaconda.org/conda-forge/mypy,2023-12-21 19:13:37.556,3738936.0,1.0,,,,,,-4.0,,,,,,,,
20,pre-commit,pre-commit/pre-commit,others,A framework for managing and maintaining multi-language pre-commit hooks.,,https://github.com/pre-commit/pre-commit,https://github.com/pre-commit/pre-commit,MIT,2014-03-13 00:39:38.000,2024-03-02 16:57:31.000,2024-03-02 16:57:30,2639.0,24.0,745.0,86.0,1164.0,1927.0,11758.0,2024-02-18 18:22:07.000,3.6.2,190.0,157.0,41,True,,26.0,pre-commit,conda-forge/pre-commit,,1054103.0,18798720.0,184943.0,177748.0,https://pypi.org/project/pre-commit,2024-02-18 18:19:38.000,7195.0,18678652.0,https://anaconda.org/conda-forge/pre-commit,2024-02-18 19:29:08.366,4148808.0,1.0,,,,,,,,,,,,,,
21,robotframework,robotframework/robotframework,testing,Generic automation framework for acceptance testing and RPA.,,https://github.com/robotframework/robotframework,https://github.com/robotframework/robotframework,Apache-2.0,2014-06-27 11:10:38.000,2024-03-07 04:09:53.000,2024-03-01 13:40:14,14542.0,138.0,2222.0,477.0,711.0,4104.0,8871.0,2024-01-11 16:01:12.000,7.0,127.0,197.0,41,True,,274.0,robotframework,conda-forge/robotframework,,554.0,2617262.0,11121.0,9976.0,https://pypi.org/project/robotframework,2024-01-11 16:17:42.000,1145.0,2612499.0,https://anaconda.org/conda-forge/robotframework,2024-01-11 22:50:41.389,171332.0,1.0,,,,,,,,,,,,,,
22,isort,PyCQA/isort,formatters,A Python utility / library to sort imports.,,https://github.com/PyCQA/isort,https://github.com/PyCQA/isort,MIT,2013-09-02 22:22:53.000,2024-02-28 07:47:55.000,2024-01-15 05:16:11,4162.0,25.0,598.0,48.0,975.0,1075.0,6260.0,2023-12-13 20:37:31.000,5.13.2,146.0,294.0,41,True,,188.0,isort,conda-forge/isort,,,35137237.0,471222.0,452410.0,https://pypi.org/project/isort,2023-12-13 20:37:23.000,18812.0,35008557.0,https://anaconda.org/conda-forge/isort,2023-12-14 01:51:17.173,5661921.0,2.0,,,,,,,,,,,,,,
23,conda,conda/conda,dependency-managers,"A system-level, binary package and environment manager running on all major operating systems and platforms.",,https://github.com/conda/conda,https://github.com/conda/conda,,2012-10-15 22:08:03.000,2024-03-07 12:08:43.000,2024-03-06 14:03:15,16750.0,114.0,1437.0,197.0,4118.0,8797.0,6014.0,2024-02-19 13:57:26.000,24.1.2,100.0,450.0,41,False,,668.0,conda,conda-forge/conda,,,1205672.0,45958.0,45958.0,https://pypi.org/project/conda,,,132657.0,https://anaconda.org/conda-forge/conda,2024-02-23 16:47:48.807,49358714.0,1.0,,,,,,,,,,,,,,
24,virtualenv,pypa/virtualenv,virtual-envs,Virtual Python Environment builder.,,https://github.com/pypa/virtualenv,https://github.com/pypa/virtualenv,MIT,2011-03-06 14:33:27.000,2024-02-28 00:28:53.000,2024-02-28 00:28:52,766.0,12.0,963.0,169.0,1345.0,1292.0,4658.0,2023-12-01 16:24:25.000,20.25.0,67.0,113.0,41,True,,21.0,virtualenv,conda-forge/virtualenv,,,116060582.0,365679.0,365679.0,https://pypi.org/project/virtualenv,,,115910474.0,https://anaconda.org/conda-forge/virtualenv,2024-02-22 11:44:36.913,6154435.0,2.0,,,,,,,,,,,,,,
25,mkdocs,mkdocs/mkdocs,documentation,Project documentation with Markdown.,,https://github.com/mkdocs/mkdocs,https://github.com/mkdocs/mkdocs,BSD-2-Clause,2014-01-11 21:05:21.000,2024-02-24 12:32:55.000,2024-02-08 18:17:16,2047.0,33.0,2374.0,235.0,1255.0,1804.0,18014.0,2023-09-18 21:27:59.000,1.5.3,60.0,246.0,40,True,,138.0,mkdocs,conda-forge/mkdocs,['mkdocs'],,3161094.0,62658.0,57834.0,https://pypi.org/project/mkdocs,2023-09-18 21:26:09.000,4824.0,3151400.0,https://anaconda.org/conda-forge/mkdocs,2023-09-19 01:25:40.888,319906.0,1.0,,,,,,,,,,,,,,
26,yapf,google/yapf,formatters,A formatter for Python files.,,https://github.com/google/yapf,https://github.com/google/yapf,Apache-2.0,2015-03-18 18:22:31.000,2024-03-04 05:02:47.000,2024-02-17 00:58:05,1342.0,6.0,882.0,212.0,364.0,462.0,13595.0,2023-09-22 18:40:43.000,0.40.2,74.0,153.0,39,True,,380.0,yapf,conda-forge/yapf,,,5150894.0,92971.0,90606.0,https://pypi.org/project/yapf,2023-09-22 18:40:43.000,2365.0,5101570.0,https://anaconda.org/conda-forge/yapf,2023-07-26 16:15:22.726,1726367.0,2.0,,,,,,,,,,,,,,
27,pip-tools,jazzband/pip-tools,dependency-managers,A set of tools to keep your pinned Python dependencies fresh.,,https://github.com/jazzband/pip-tools,https://github.com/jazzband/pip-tools,BSD-3-Clause,2012-09-10 08:50:26.000,2024-03-06 19:05:53.000,2024-03-06 11:15:04,2118.0,49.0,529.0,103.0,997.0,891.0,7385.0,2024-03-06 12:11:59.000,7.4.1,69.0,207.0,39,True,,147.0,pip-tools,conda-forge/pip-tools,,,13038247.0,26216.0,26216.0,https://pypi.org/project/pip-tools,,,13035238.0,https://anaconda.org/conda-forge/pip-tools,2024-03-06 14:43:42.984,138440.0,2.0,,,,,,,,,,,,,,
28,jedi,davidhalter/jedi,refactoring,"Awesome autocompletion, static analysis and refactoring library for python.",,https://github.com/davidhalter/jedi,https://github.com/davidhalter/jedi,,2012-02-19 23:12:30.000,2024-02-19 12:07:48.000,2024-02-19 12:07:47,8412.0,10.0,493.0,113.0,594.0,1326.0,5621.0,,,23.0,168.0,39,False,,57.0,jedi,conda-forge/jedi,,,38641456.0,402930.0,402930.0,https://pypi.org/project/jedi,,,38179514.0,https://anaconda.org/conda-forge/jedi,2023-10-03 09:44:27.309,20787399.0,1.0,,,,,,,,,,,,,,
29,pyright,Microsoft/pyright,type-checkers,Static Type Checker for Python.,,https://github.com/microsoft/pyright,https://github.com/microsoft/pyright,MIT,2019-03-12 03:38:46.000,2024-03-07 08:13:32.000,2024-03-07 08:13:27,7197.0,269.0,1214.0,115.0,1237.0,5285.0,11770.0,2024-02-29 00:08:46.000,1.1.352,100.0,107.0,38,True,,32.0,,,,1710.0,1220415.0,760.0,760.0,,,,,,,,2.0,,,,,,,pyright,https://www.npmjs.com/package/pyright,1220334.0,,,,,
30,tox,tox-dev/tox,testing,Command line driven CI frontend and development task automation tool.,,https://github.com/tox-dev/tox,https://github.com/tox-dev/tox,MIT,2016-09-17 16:54:22.000,2024-03-06 20:35:31.856,2024-03-06 18:52:47,714.0,36.0,483.0,41.0,1409.0,1602.0,3475.0,2024-03-06 18:53:24.000,4.14.1,95.0,71.0,38,True,,89.0,tox,conda-forge/tox,['pytest'],,13788678.0,111680.0,111680.0,https://pypi.org/project/tox,,,13769686.0,https://anaconda.org/conda-forge/tox,2024-03-06 20:35:31.856,873644.0,1.0,,,,,,,,,,,,,,
31,twine,pypa/twine,build-tools,Utilities for interacting with PyPI.,,https://github.com/pypa/twine,https://github.com/pypa/twine,Apache-2.0,2013-08-13 15:39:39.000,2024-03-04 20:33:01.000,2024-03-03 02:02:52,1136.0,41.0,312.0,39.0,564.0,436.0,1515.0,2024-02-11 19:59:38.000,5.0.0,53.0,118.0,38,True,,60.0,twine,conda-forge/twine,,4.0,5746210.0,117759.0,101365.0,https://pypi.org/project/twine,2024-02-11 19:59:38.000,16394.0,5725695.0,https://anaconda.org/conda-forge/twine,2024-02-11 22:36:42.897,923203.0,1.0,,,,,,,,,,,,,,
32,pytest-xdist,pytest-dev/pytest-xdist,testing,pytest plugin for distributed testing and loop-on-failures testing modes.,,https://github.com/pytest-dev/pytest-xdist,https://github.com/pytest-dev/pytest-xdist,MIT,2015-09-01 18:51:45.000,2024-03-05 22:23:50.000,2024-03-05 22:23:49,1157.0,20.0,204.0,48.0,409.0,356.0,1326.0,2023-11-21 15:21:18.000,3.5.0,50.0,100.0,38,True,,237.0,pytest-xdist,conda-forge/pytest-xdist,['pytest'],18.0,17862201.0,94654.0,94654.0,https://pypi.org/project/pytest-xdist,,,17733262.0,https://anaconda.org/conda-forge/pytest-xdist,2023-11-21 18:58:37.015,5673173.0,1.0,,,,,,,,,,,,,,
33,poetry,python-poetry/poetry,dependency-managers,Python packaging and dependency management made easy.,,https://github.com/python-poetry/poetry,https://github.com/python-poetry/poetry,MIT,2018-02-28 15:23:47.000,2024-03-06 19:48:12.000,2024-03-06 08:45:59,3156.0,134.0,2151.0,187.0,2736.0,5003.0,28899.0,2024-03-02 15:26:36.000,1.8.2,100.0,545.0,37,True,,569.0,poetry,conda-forge/poetry,,15405991.0,32165888.0,,,https://pypi.org/project/poetry,,,31907357.0,https://anaconda.org/conda-forge/poetry,2024-03-03 16:09:33.641,1129852.0,2.0,,,,,,,,,,,,,,
34,loguru,Delgan/loguru,logging,Python logging made (stupidly) simple.,,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32.000,2024-03-03 09:06:54.000,2024-03-02 11:34:55,809.0,30.0,652.0,138.0,169.0,778.0,17625.0,2023-09-11 15:25:24.000,0.7.2,21.0,53.0,37,True,,152.0,loguru,conda-forge/loguru,,,16579820.0,80361.0,76977.0,https://pypi.org/project/loguru,2023-09-11 15:24:35.000,3384.0,16536317.0,https://anaconda.org/conda-forge/loguru,2023-09-24 09:55:27.841,2001183.0,1.0,,,,,,,,,,,,,,
35,Nuitka,Nuitka/Nuitka,packaging,"Nuitka is a Python compiler written in Python. Its fully compatible with Python 2.6, 2.7, 3.4, 3.5, 3.6, 3.7, 3.8,..",,https://github.com/Nuitka/Nuitka,https://github.com/Nuitka/Nuitka,Apache-2.0,2013-04-23 15:40:33.000,2024-03-06 22:20:50.000,2024-03-04 10:31:06,12090.0,842.0,564.0,136.0,368.0,2025.0,10540.0,,,199.0,166.0,37,True,,136.0,nuitka,conda-forge/nuitka,,,129210.0,1852.0,1852.0,https://pypi.org/project/nuitka,,,115582.0,https://anaconda.org/conda-forge/nuitka,2024-03-04 17:43:19.958,626892.0,1.0,,,,,,,,,,,,,,
36,playwright-python,microsoft/playwright-python,testing,Python version of the Playwright testing and automation library.,,https://github.com/microsoft/playwright-python,https://github.com/microsoft/playwright-python,Apache-2.0,2020-07-01 15:28:13.000,2024-03-06 10:19:52.000,2024-03-05 19:52:34,743.0,50.0,794.0,128.0,841.0,1201.0,10290.0,2024-03-06 10:19:52.000,1.42.0,109.0,36.0,37,True,,43.0,playwright,,,,2716648.0,14221.0,13698.0,https://pypi.org/project/playwright,2024-03-06 10:19:52.000,523.0,2716648.0,,,,2.0,,,,,,,,,,,,,,
37,sentry-sdk,getsentry/sentry-python,logging,The official Python SDK for Sentry.io.,,https://github.com/getsentry/sentry-python,https://github.com/getsentry/sentry-python,MIT,2018-06-18 22:51:10.000,2024-03-07 13:58:39.000,2024-03-07 13:58:38,2128.0,90.0,452.0,72.0,1591.0,988.0,1707.0,2024-03-07 13:58:24.000,1.41.0,221.0,206.0,37,True,,199.0,sentry-sdk,conda-forge/sentry-sdk,,3758.0,28905813.0,509.0,,https://pypi.org/project/sentry-sdk,2024-03-07 13:58:08.000,509.0,28889425.0,https://anaconda.org/conda-forge/sentry-sdk,2024-02-27 13:03:24.244,733143.0,1.0,,,,,,,,,,,,,,
38,pyflakes,PyCQA/pyflakes,linters,A simple program which checks Python source files for errors.,,https://github.com/PyCQA/pyflakes,https://github.com/PyCQA/pyflakes,MIT,2014-04-07 06:19:46.000,2024-03-07 12:23:41.000,2024-02-17 02:54:02,566.0,4.0,183.0,29.0,299.0,466.0,1330.0,2024-01-05 00:28:45.000,3.2.0,38.0,85.0,37,True,,54.0,pyflakes,conda-forge/pyflakes,,,30657013.0,283799.0,269951.0,https://pypi.org/project/pyflakes,2024-01-05 00:28:45.000,13848.0,30459530.0,https://anaconda.org/conda-forge/pyflakes,2024-01-05 03:19:34.488,7109409.0,1.0,,,,,,,,,,,,,,
39,pytest-asyncio,pytest-dev/pytest-asyncio,testing,Asyncio support for pytest.,,https://github.com/pytest-dev/pytest-asyncio,https://github.com/pytest-dev/pytest-asyncio,Apache-2.0,2015-04-11 00:18:05.000,2024-03-04 19:00:29.000,2024-02-28 10:58:06,645.0,60.0,134.0,37.0,484.0,259.0,1299.0,2024-02-09 16:48:21.000,0.23.5,32.0,46.0,37,True,,41.0,pytest-asyncio,conda-forge/pytest-asyncio,['pytest'],662.0,11302123.0,90791.0,90791.0,https://pypi.org/project/pytest-asyncio,,,11261362.0,https://anaconda.org/conda-forge/pytest-asyncio,2024-02-09 21:21:11.205,1873857.0,2.0,,,,,,8.0,,,,,,,,
40,packaging,pypa/packaging,packaging,Core utilities for Python packages.,,https://github.com/pypa/packaging,https://github.com/pypa/packaging,Apache-2.0,2014-05-15 22:49:43.000,2024-03-05 15:25:05.000,2024-01-17 19:36:10,686.0,9.0,246.0,28.0,423.0,283.0,568.0,2023-10-01 13:50:29.000,23.2,43.0,105.0,37,True,,87.0,packaging,conda-forge/packaging,,784.0,296811311.0,1098607.0,1078226.0,https://pypi.org/project/packaging,2023-10-01 13:50:03.000,20381.0,295876870.0,https://anaconda.org/conda-forge/packaging,2023-10-01 23:22:47.528,42983684.0,1.0,,,,,,,,,,,,,,
41,wheel,pypa/wheel,build-tools,The official binary distribution format for Python.,,https://github.com/pypa/wheel,https://github.com/pypa/wheel,MIT,2017-07-25 20:24:25.000,2024-03-06 20:22:42.000,2024-03-06 20:22:41,925.0,11.0,143.0,34.0,221.0,343.0,471.0,2023-11-26 14:37:13.000,0.42.0,77.0,80.0,37,True,,43.0,wheel,conda-forge/wheel,,,383534806.0,294552.0,256903.0,https://pypi.org/project/wheel,2023-11-26 14:37:10.000,37649.0,381536270.0,https://anaconda.org/conda-forge/wheel,2023-11-26 15:42:45.198,85937077.0,2.0,,,,,,,,,,,,,,
42,pipx,pypa/pipx,dependency-managers,Install and Run Python Applications in Isolated Environments.,,https://github.com/pypa/pipx,https://github.com/pypa/pipx,MIT,2018-10-06 18:47:46.000,2024-03-07 03:43:49.000,2024-03-06 07:48:52,701.0,68.0,374.0,73.0,584.0,606.0,8348.0,2024-01-16 16:53:15.000,1.4.3,61.0,134.0,36,True,,61.0,pipx,conda-forge/pipx,,45258.0,4817670.0,1945.0,1925.0,https://pypi.org/project/pipx,2024-01-16 16:53:15.000,20.0,4815218.0,https://anaconda.org/conda-forge/pipx,2024-01-17 09:19:13.109,44026.0,2.0,,,,,,,,,,,,,,
43,PDM,pdm-project/pdm,dependency-managers,A modern Python package and dependency manager supporting the latest PEP standards.,,https://github.com/pdm-project/pdm,https://github.com/pdm-project/pdm,MIT,2019-12-27 03:50:57.000,2024-03-07 13:14:45.000,2024-03-06 09:02:02,2623.0,83.0,316.0,29.0,910.0,1418.0,6257.0,2024-02-26 02:22:33.000,2.12.4,189.0,168.0,36,True,,48.0,pdm,conda-forge/pdm,,4.0,739530.0,325.0,251.0,https://pypi.org/project/pdm,2024-02-26 02:22:19.000,74.0,731322.0,https://anaconda.org/conda-forge/pdm,2024-02-26 19:51:12.473,246253.0,2.0,,,,,,,,,,,,,,
