,name,github_id,category,description,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,open_issue_count,projectrank,show,pypi_id,conda_id,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,cargo_id,cargo_url,cargo_latest_release_published_at,cargo_dependent_project_count,cargo_monthly_downloads,cargo_total_downloads,updated_github_id,conda_forge
249,retype,ambv/retype,refactoring,Re-apply type annotations from .pyi stubs to your codebase.,,https://github.com/ambv/retype,https://github.com/ambv/retype,MIT,2017-03-11 07:54:58.000,2022-06-24 15:28:34.000,2022-06-24 15:28:32,106.0,5.0,17.0,4.0,27.0,8.0,130.0,2021-12-29 00:30:49.000,21.12.0,11.0,9.0,7.0,16,True,retype,conda-forge/retype,,18.0,,https://pypi.org/project/retype,2021-12-29 00:30:49.000,18.0,936.0,1252.0,https://anaconda.org/conda-forge/retype,2021-12-29 14:35:22.999,17075.0,3.0,,,,,,,,,,,,,,,,,,,,
250,mkdocs-versioning,zayd62/mkdocs-versioning,documentation,A tool that allows for versioning sites built with mkdocs.,,https://github.com/zayd62/mkdocs-versioning,https://github.com/zayd62/mkdocs-versioning,MIT,2019-07-20 18:09:56.000,2021-08-01 15:51:53.000,2021-08-01 15:51:53,133.0,,7.0,3.0,39.0,22.0,38.0,2021-02-11 10:24:35.000,0.4.0,6.0,5.0,3.0,16,False,mkdocs-versioning,,['mkdocs'],38.0,38.0,https://pypi.org/project/mkdocs-versioning,2021-02-11 10:24:35.000,,3660.0,3660.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
251,pyenv-installer,pyenv/pyenv-installer,virtual-envs,This tool is used to install `pyenv` and friends.,,https://github.com/pyenv/pyenv-installer,https://github.com/pyenv/pyenv-installer,MIT,2013-06-01 03:48:07.000,2022-05-01 02:04:07.000,2022-05-01 02:04:07,140.0,1.0,348.0,72.0,53.0,66.0,3276.0,,,,35.0,6.0,15,True,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
252,pycycle,bndr/pycycle,linters,Tool for pinpointing circular imports in Python. Find cyclic imports in any project.,,https://github.com/bndr/pycycle,https://github.com/bndr/pycycle,MIT,2017-01-28 17:22:00.000,2022-01-15 20:44:01.000,2017-02-13 18:07:04,26.0,,19.0,5.0,6.0,1.0,306.0,2017-02-13 18:07:58.000,0.0.8,8.0,2.0,15.0,15,False,pycycle,,,65.0,58.0,https://pypi.org/project/pycycle,2017-02-13 18:07:58.000,7.0,2908.0,2908.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
253,pep8ify,spulec/pep8ify,refactoring,A library that modifies python source code to conform to pep8.,,https://github.com/spulec/pep8ify,https://github.com/spulec/pep8ify,Apache-2.0,2012-06-03 03:31:33.000,2019-03-08 03:06:14.000,2014-10-24 20:36:38,154.0,,12.0,5.0,7.0,12.0,117.0,2014-10-24 20:36:57.000,0.0.13,13.0,6.0,6.0,15,False,pep8ify,,,57.0,38.0,https://pypi.org/project/pep8ify,2014-10-24 20:36:57.000,19.0,32.0,32.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
254,pytest-play,pytest-dev/pytest-play,testing,pytest plugin that let you automate actions and assertions with test metrics reporting executing plain YAML files.,,https://github.com/pytest-dev/pytest-play,https://github.com/pytest-dev/pytest-play,Apache-2.0,2017-12-14 09:08:26.000,2019-08-20 15:57:27.000,2019-06-12 11:57:28,382.0,,4.0,8.0,62.0,24.0,65.0,2019-06-12 11:59:29.000,2.3.1,23.0,3.0,5.0,15,False,pytest-play,,['pytest'],31.0,21.0,https://pypi.org/project/pytest-play,2019-06-12 11:59:29.000,10.0,54.0,54.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
255,massedit,elmotec/massedit,refactoring,Programmatically edit text files with Python. Useful for source to source transformations.,,https://github.com/elmotec/massedit,https://github.com/elmotec/massedit,MIT,2012-03-11 16:18:30.000,2022-03-17 12:52:23.000,2020-12-23 02:11:17,178.0,,14.0,6.0,7.0,5.0,103.0,2020-12-23 02:19:02.000,0.69.1,15.0,8.0,3.0,14,False,massedit,,,6.0,,https://pypi.org/project/massedit,2020-12-23 02:12:33.000,6.0,1076.0,1076.0,,,,3.0,17.0,,,,,,,,,,,,,,,,,,,
256,universal-build,ml-tooling/universal-build,build-tools,Universal build utilities for containerized build pipelines.,,https://github.com/ml-tooling/universal-build,https://github.com/ml-tooling/universal-build,MIT,2020-10-19 14:57:21.000,2021-11-17 17:00:05.000,2021-11-17 17:00:05,394.0,,6.0,4.0,32.0,3.0,17.0,2021-11-17 16:59:34.000,0.6.18,40.0,4.0,,14,True,universal-build,,,14.0,9.0,https://pypi.org/project/universal-build,2020-12-12 13:21:08.000,5.0,332.0,332.0,,,,3.0,16.0,,,,,,,,,,,,,,,,,,,
257,yala,cemsbr/yala,linters,Yet Another Linter Aggregator.,,https://github.com/cemsbr/yala,https://github.com/cemsbr/yala,MIT,2017-06-02 22:45:50.000,2021-11-15 05:53:09.000,2021-11-15 05:05:03,193.0,,5.0,2.0,132.0,11.0,13.0,2021-11-15 05:07:43.000,3.1.0,28.0,4.0,1.0,14,False,yala,,"['flake8', 'pylint']",54.0,44.0,https://pypi.org/project/yala,2021-11-15 05:05:38.000,10.0,885.0,885.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
258,subpar,google/subpar,packaging,Subpar is a utility for creating self-contained python executables. It is designed to work well with Bazel.,,https://github.com/google/subpar,https://github.com/google/subpar,Apache-2.0,2016-08-03 20:11:35.000,2021-11-29 00:52:40.000,2019-08-15 01:37:08,93.0,,63.0,20.0,72.0,30.0,528.0,2019-05-14 20:14:05.000,2.0.0,5.0,14.0,33.0,13,False,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
259,cohesion,mschwager/cohesion,code-metrics,A tool for measuring Python class cohesion.,,https://github.com/mschwager/cohesion,https://github.com/mschwager/cohesion,GPL-3.0,2016-08-11 21:09:32.000,2021-11-09 19:51:22.570,2019-08-05 17:14:01,78.0,,3.0,8.0,1.0,11.0,166.0,2019-07-10 16:08:05.000,1.0.0,9.0,2.0,3.0,13,False,cohesion,conda-forge/cohesion,,7.0,,https://pypi.org/project/cohesion,2019-07-10 16:08:05.000,7.0,1196.0,1246.0,https://anaconda.org/conda-forge/cohesion,2021-11-09 19:51:22.570,407.0,3.0,,,,,,,,,,,,,,,,,,,,
260,livepython,agermanidis/livepython,profiling,Visually trace Python code in real-time.,,https://github.com/agermanidis/livepython,https://github.com/agermanidis/livepython,MIT,2017-10-03 00:19:59.000,2019-01-22 17:39:55.000,2017-11-14 21:27:52,20.0,,165.0,77.0,4.0,15.0,2455.0,,,,3.0,10.0,12,False,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
261,linty_fresh,lyft/linty_fresh,linters,Surface lint errors during code review.,,https://github.com/lyft/linty_fresh,https://github.com/lyft/linty_fresh,Apache-2.0,2015-12-19 02:37:26.000,2021-09-14 16:38:07.000,2020-11-30 22:18:53,53.0,,21.0,21.0,61.0,1.0,183.0,2018-12-12 19:47:05.000,0.7.0,10.0,17.0,8.0,12,False,linty-fresh,,"['flake8', 'mypy']",,,https://pypi.org/project/linty-fresh,2018-12-12 19:47:05.000,,17.0,17.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
262,pipenv-pipes,gtalarico/pipenv-pipes,virtual-envs,A PipEnv Environment Switcher.,,https://github.com/gtalarico/pipenv-pipes,https://github.com/gtalarico/pipenv-pipes,MIT,2018-05-02 03:56:41.000,2021-06-01 22:15:42.000,2019-06-27 03:42:48,285.0,,11.0,4.0,19.0,10.0,130.0,2018-11-08 03:05:43.000,0.7.1,25.0,5.0,7.0,12,False,pipenv-pipes,,,,,https://pypi.org/project/pipenv-pipes,2018-11-08 03:05:43.000,,75.0,75.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
263,pyship,jamesabel/pyship,packaging,pyship - ship Python desktop apps to end users.,,https://github.com/jamesabel/pyship,https://github.com/jamesabel/pyship,MIT,2020-04-23 04:45:03.000,2021-06-09 04:34:00.000,2021-06-09 04:33:22,279.0,,1.0,2.0,3.0,,24.0,2021-06-09 04:34:00.000,0.1.5,17.0,1.0,4.0,9,False,pyship,,,,,https://pypi.org/project/pyship,2021-06-09 04:34:00.000,,46.0,46.0,,,,3.0,,,,,,,,,,,,,,,,,,,,
